countryRegionId,year,indicator,value
BGR,2023,gdp_per_capita,15853.208636704
BGR,2022,gdp_per_capita,13999.1949530956
BGR,2021,gdp_per_capita,12966.1457543396
BGR,2020,gdp_per_capita,10760.211975413
CZE,2023,gdp_per_capita,31761.5944102491
CZE,2022,gdp_per_capita,28282.2236715857
CZE,2021,gdp_per_capita,27696.4619527544
CZE,2020,gdp_per_capita,23472.8915454417
HUN,2023,gdp_per_capita,22230.6277875187
HUN,2022,gdp_per_capita,18428.028825614
HUN,2021,gdp_per_capita,19030.628130329
HUN,2020,gdp_per_capita,16386.9308821258
POL,2023,gdp_per_capita,22145.2660647429
POL,2022,gdp_per_capita,18891.2121169279
POL,2021,gdp_per_capita,18635.5104895754
POL,2020,gdp_per_capita,16150.9304813473
ROU,2023,gdp_per_capita,18244.4186876321
ROU,2022,gdp_per_capita,15503.551804598
ROU,2021,gdp_per_capita,14907.9803652143
ROU,2020,gdp_per_capita,13009.1770573223
SVK,2023,gdp_per_capita,24614.8734642794
SVK,2022,gdp_per_capita,21317.7943982363
SVK,2021,gdp_per_capita,22123.3342114545
SVK,2020,gdp_per_capita,19735.4858280801
BGR,2023,energy_use_per_capita,2604.19104505407
BGR,2022,energy_use_per_capita,2968.65663426552
BGR,2021,energy_use_per_capita,2918.91641380678
BGR,2020,energy_use_per_capita,2664.55152991688
CZE,2023,energy_use_per_capita,3509.34804885656
CZE,2022,energy_use_per_capita,3895.62928915395
CZE,2021,energy_use_per_capita,4056.31700066788
CZE,2020,energy_use_per_capita,3764.47161158552
HUN,2023,energy_use_per_capita,2515.37052947518
HUN,2022,energy_use_per_capita,2672.86765529203
HUN,2021,energy_use_per_capita,2850.7057950255
HUN,2020,energy_use_per_capita,2713.17923384455
POL,2023,energy_use_per_capita,2639.20385996686
POL,2022,energy_use_per_capita,2798.00774623397
POL,2021,energy_use_per_capita,2920.11352538648
POL,2020,energy_use_per_capita,2710.95606232103
ROU,2023,energy_use_per_capita,1600.61942333991
ROU,2022,energy_use_per_capita,1655.23818974845
ROU,2021,energy_use_per_capita,1787.09564245924
ROU,2020,energy_use_per_capita,1669.6382293589
SVK,2023,energy_use_per_capita,3054.72438218715
SVK,2022,energy_use_per_capita,3089.1457459111
SVK,2021,energy_use_per_capita,3305.89912789281
SVK,2020,energy_use_per_capita,3032.64269516845
BGR,2023,renewables_share,
BGR,2022,renewables_share,
BGR,2021,renewables_share,20.4
BGR,2020,renewables_share,21.1
CZE,2023,renewables_share,
CZE,2022,renewables_share,
CZE,2021,renewables_share,17.2
CZE,2020,renewables_share,17.0
HUN,2023,renewables_share,
HUN,2022,renewables_share,
HUN,2021,renewables_share,15.3
HUN,2020,renewables_share,14.8
POL,2023,renewables_share,
POL,2022,renewables_share,
POL,2021,renewables_share,15.2
POL,2020,renewables_share,16.1
ROU,2023,renewables_share,
ROU,2022,renewables_share,
ROU,2021,renewables_share,23.6
ROU,2020,renewables_share,24.1
SVK,2023,renewables_share,
SVK,2022,renewables_share,
SVK,2021,renewables_share,17.9
SVK,2020,renewables_share,17.6
BGR,2023,electricity_access,100.0
BGR,2022,electricity_access,100.0
BGR,2021,electricity_access,99.8
BGR,2020,electricity_access,99.7
CZE,2023,electricity_access,100.0
CZE,2022,electricity_access,100.0
CZE,2021,electricity_access,100.0
CZE,2020,electricity_access,100.0
HUN,2023,electricity_access,100.0
HUN,2022,electricity_access,100.0
HUN,2021,electricity_access,100.0
HUN,2020,electricity_access,100.0
POL,2023,electricity_access,100.0
POL,2022,electricity_access,100.0
POL,2021,electricity_access,100.0
POL,2020,electricity_access,100.0
ROU,2023,electricity_access,100.0
ROU,2022,electricity_access,100.0
ROU,2021,electricity_access,100.0
ROU,2020,electricity_access,100.0
SVK,2023,electricity_access,100.0
SVK,2022,electricity_access,100.0
SVK,2021,electricity_access,100.0
SVK,2020,electricity_access,100.0
